timestamp,pr_long,pr_short,ta_long,ta_short,eg_long,eg_short,layer
2025-05-15 09:11:31.516732,0,6,15,0,4,0,6
2025-05-15 09:11:31.546785,0,6,15,0,3,0,6
2025-05-15 09:13:41.984940,0,4,15,0,3,0,5
2025-05-15 09:13:42.007208,0,4,10,0,3,0,5
2025-05-15 09:13:42.069093,0,4,10,0,2,0,5
2025-05-15 09:38:36.015954,0,6,10,0,2,0,7
2025-05-15 09:38:36.051337,0,6,15,0,2,0,7
2025-05-15 09:38:36.128242,0,6,15,0,3,0,7
2025-05-15 09:53:30.780884,0,8,15,0,3,0,8
2025-05-15 09:53:30.806949,0,8,20,0,3,0,8
2025-05-15 09:53:30.839772,0,8,20,0,4,0,8
2025-05-16 13:37:12.332755,0,10,20,0,4,0,9
2025-05-16 13:37:12.357314,0,10,25,0,4,0,9
2025-05-16 13:37:12.434289,0,10,25,0,5,0,9
2025-05-19 09:47:07.110638,0,8,25,0,5,0,7
2025-05-19 09:47:07.146381,0,8,20,0,5,0,7
2025-05-19 09:47:07.197917,0,8,20,0,4,0,7
2025-05-19 10:33:40.660379,0,10,20,0,4,0,9
2025-05-19 10:33:40.689578,0,10,25,0,4,0,9
2025-05-19 10:33:40.772305,0,10,25,0,5,0,9
2025-05-19 13:51:56.352629,0,12,25,0,5,0,10
2025-05-19 13:51:56.380362,0,12,30,0,5,0,10
2025-05-19 13:51:56.469007,0,12,30,0,6,0,10
2025-05-19 14:10:18.389134,0,10,30,0,6,0,8
2025-05-19 14:10:18.440547,0,10,25,0,6,0,8
2025-05-19 14:10:18.535807,0,10,25,0,5,0,8
2025-05-21 09:34:15.341737,0,8,25,0,5,0,7
2025-05-21 09:34:15.437223,0,8,20,0,5,0,7
2025-05-21 09:34:15.471471,0,8,20,0,4,0,7
2025-05-21 09:35:04.715518,0,6,20,0,4,0,6
2025-05-21 09:35:04.767942,0,6,15,0,4,0,6
2025-05-21 09:35:04.878583,0,6,15,0,3,0,6
2025-05-21 11:29:54.325070,0,8,15,0,3,0,8
2025-05-21 11:29:54.368557,0,8,20,0,3,0,8
2025-05-21 11:29:54.474079,0,8,20,0,4,0,8
2025-05-22 11:29:30.154455,0,10,20,0,4,0,9
2025-05-22 11:29:30.183165,0,10,25,0,4,0,9
2025-05-22 11:29:30.241463,0,10,25,0,5,0,9
